offset_months,date,is_hypothesised,n_pre,n_post,mean_pre,mean_post,diff,t_hac,p_hac,note
0,2024-01-11,True,737,712,0.3790466511315753,0.3978434412582362,0.018796790126658493,2.085093987039515,0.03706076997294856,
-12,2023-01-11,False,374,1075,0.3578641377140617,0.3988657902835126,0.04100165256945118,3.908687005744175,9.27990994687553e-05,
-6,2023-07-11,False,554,895,0.37406696710967474,0.3970824718224306,0.02301550471275693,2.3617353474965395,0.018189622296001542,
-3,2023-10-11,False,646,803,0.3826715985653344,0.3927970851639217,0.010125486598585528,1.0812198684090453,0.2795993220485171,
3,2024-04-11,False,826,623,0.380122520950229,0.3991022628490305,0.018979741898801424,2.144168885654357,0.032019357163023766,
6,2024-07-11,False,916,533,0.3795396374114916,0.4033088258741255,0.02376918846263374,2.7380914215716663,0.00617968945116887,
12,2025-01-11,False,1098,351,0.3824178865186048,0.40662983664503444,0.024211950126427777,2.5696480534958948,0.010180188088722921,
