,shift,std_err,t,p
share us_equity (ETF open),0.038849475269844586,0.011164815396336654,3.479634359435239,0.0005020985306200273
"share cme_evening (ETF shut, CME open)",-0.00883569599864907,0.008063232010738379,-1.0958007889245833,0.2731659631757378
"share difference (INVALID, see docstring)",0.04768517126849316,0.01728703175469976,2.7584360314215988,0.005807867102581176
log variance ratio (PRIMARY),0.13284539707030973,0.06363515004582225,2.0876103375988073,0.036832998731238055
